story_id,story_title,grade_level,priority_score_final,priority_band,heuristic_risk_score,llm_priority,num_flags,num_skills,top_flag_types,top_flag_snippet,suggested_skills,needs_human_review,needs_human_review_skills,review_status,flags_accepted_revised,skills_accepted_revised,final_priority
6fa23c2f-313f-4fc2-b16e-d32cd03a19df,For The Good Of The Empire,5,1.0,Critical,0.0,0.6,2,3,Emotional Safety; Cultural Sensitivity,The rule of the Sapa Inca was absolute.,SKILL-KNOW-009: Government and Civics; SKILL-KNOW-010: Community and Society; SKILL-COMP-005: Plot and Sequence,False,False,Needs Review,,,
63dec58f-426f-4db3-b933-abad46d1b829,Louisiana As A Colony (Part 3),1,1.0,Critical,0.15,0.4,2,6,Cultural Sensitivity; Age Appropriateness,The British forced thousands of Acadian people to leave Canada.,SKILL-COMP-001: Main Idea; SKILL-COMP-002: Key Details; SKILL-COMP-003: Character Analysis; SKILL-COMP-006: Cause and Effect; SKILL-KNOW-008: Cultures and Traditions; SKILL-KNOW-010: Community and Society,False,False,Needs Review,,,
11d9d6a0-0d6d-11ef-8305-0bfef6fa1852,"R-controlled er, ir, ur",0,1.0,Critical,0.05,0.4,2,4,Violence; Technical/Pedagogical,twirl hurt,SKILL-DEC-001: Short Vowels; SKILL-DEC-002: Long Vowels; SKILL-DEC-006: Vowel Teams; SKILL-DEC-007: Silent Letters,False,False,Needs Review,,,
1a7a06e0-6165-11ee-85d9-dbf246165724,The Shark (Chapter Two),0,1.0,Critical,0.05,0.4,2,4,Violence; Frightening scenarios,"When the shark bites a victim, its sharp teeth slice through the flesh.",SKILL-KNOW-001: Animals; SKILL-VOCAB-001: Context Clues; SKILL-VOCAB-006: Descriptive Language; SKILL-COMP-003: Character Analysis,False,False,Needs Review,,,
bcb49650-5e45-11ee-9f23-531688072e87,Introductory Lesson 5.13: kn- Words,0,1.0,Critical,0.1,0.7,1,2,Violence,know knife,SKILL-DEC-007: Silent Letters; SKILL-DEC-002: Long Vowels,False,False,Needs Review,,,
1c635eb5-cbdb-4662-b9d5-cf51cdf96976,The War At Home,8,1.0,Critical,1.0,0.4,3,6,Cultural Sensitivity; Cultural Sensitivity; Age Appropriateness,"a German soldier as a giant, vicious, bloodthirsty ape",SKILL-COMP-001: Main Idea; SKILL-COMP-003: Character Analysis; SKILL-COMP-006: Cause and Effect; SKILL-KNOW-006: Historical Events; SKILL-KNOW-010: Community and Society; SKILL-VOCAB-001: Context Clues,False,False,Needs Review,,,
2160afb0-35a3-11ee-ae82-ddcca5b0bfb7,Sacagawea (Chapter One),3,1.0,Critical,0.2,0.7,3,9,Age Appropriateness; Age Appropriateness; Cultural Sensitivity,They enslaved Sacagawea. They took her east.,SKILL-COMP-001: Main Idea; SKILL-COMP-002: Key Details; SKILL-COMP-003: Character Analysis; SKILL-COMP-004: Setting; SKILL-COMP-005: Plot and Sequence; SKILL-COMP-006: Cause and Effect; SKILL-KNOW-001: Animals; SKILL-KNOW-002: Plants and Nature; SKILL-KNOW-008: Cultures and Traditions,False,False,Needs Review,,,
11805990-c08d-11ee-8d3a-d17b627d52c1,We Shall Fight in the Fields and in the Streets (Chapter Two),3,1.0,Critical,0.3,0.6,2,6,Violence; Age Appropriateness,Britain and France will fight together to protect our countries.,SKILL-COMP-001: Main Idea; SKILL-COMP-002: Key Details; SKILL-COMP-006: Cause and Effect; SKILL-COMP-008: Predictions; SKILL-KNOW-006: Historical Events; SKILL-KNOW-010: Community and Society,False,False,Needs Review,,,
0b1d62f0-36e5-11ee-ae44-d372479e6d1b,Community Helpers at School,1,1.0,Critical,0.05,0.3,1,7,Violence,Mason is hurt.,SKILL-KNOW-010: Community and Society; SKILL-COMP-012: Theme; SKILL-COMP-005: Plot and Sequence; SKILL-COMP-006: Cause and Effect; SKILL-VOCAB-001: Context Clues; SKILL-COMP-008: Predictions; SKILL-COMP-001: Main Idea,False,False,Needs Review,,,
b66446f0-06d1-11ed-a162-a1297cf7ce20,Is It a Cat?,0,1.0,Critical,0.0,0.4,2,2,Violence; Emotional Safety,I can cut it.,SKILL-DEC-001: Short Vowels; SKILL-DEC-010: Compound Words,False,False,Needs Review,,,
6825f0e0-a5d8-11ee-9d5d-5fd9d52aa5c7,Jack and the Beanstalk (Chapter Three),4,1.0,Critical,0.2,0.6,2,6,Violence; Frightening scenarios,"I smell the blood of an Englishman. Be he alive or be he dead, I'll grind his bones to make my bread.",SKILL-COMP-001: Main Idea; SKILL-COMP-003: Character Analysis; SKILL-COMP-005: Plot and Sequence; SKILL-COMP-006: Cause and Effect; SKILL-COMP-007: Making Inferences; SKILL-VOCAB-003: Figurative Language,False,False,Needs Review,,,
c8de43e0-63a4-11ee-9148-016a1f06fd80,Snow White Stories Around the World (Chapter Seven),2,1.0,Critical,0.0,0.6,2,5,Violence; Emotional Safety,The evil woman sent him back to the robbers' hut with a pair of poisoned slippers.,SKILL-COMP-001: Main Idea; SKILL-COMP-002: Key Details; SKILL-COMP-003: Character Analysis; SKILL-COMP-006: Cause and Effect; SKILL-COMP-008: Predictions,False,False,Needs Review,,,
f500de10-b6d8-11ee-ad8f-bff70aee1696,Sid the Bird Hunter (Chapter One),1,1.0,Critical,0.0,0.4,1,5,Violence,He wants to jump on all the birds in the bath.,SKILL-COMP-001: Main Idea; SKILL-COMP-002: Key Details; SKILL-COMP-006: Cause and Effect; SKILL-VOCAB-001: Context Clues; SKILL-KNOW-001: Animals,False,False,Needs Review,,,
838cc360-3baf-11ee-93e0-4fea74c23ce9,John F. Kennedy (Chapter Two),1,1.0,Critical,0.0,0.2,1,5,Age Appropriateness,"Another son, Patrick, died soon after birth.",SKILL-COMP-001: Main Idea; SKILL-COMP-002: Key Details; SKILL-COMP-003: Character Analysis; SKILL-COMP-005: Plot and Sequence; SKILL-KNOW-006: Historical Events,False,False,Needs Review,,,
fb3dba10-ab1a-11ee-91a0-050e50f8455f,Dolley Madison Saves the National Pride (Chapter Two),5,1.0,Critical,0.1,0.6,3,6,Violence; Emotional Safety; Age Appropriateness,"offers to spike the cannon at the gate, and lay a train of powder, which would blow up the British",SKILL-COMP-001: Main Idea; SKILL-COMP-002: Key Details; SKILL-COMP-003: Character Analysis; SKILL-COMP-006: Cause and Effect; SKILL-COMP-008: Predictions; SKILL-VOCAB-001: Context Clues,False,False,Needs Review,,,
0044b6b0-58a7-11ee-9148-016a1f06fd80,Tecumseh (Chapter One),4,1.0,Critical,0.45,0.5,2,8,Violence; Cultural Sensitivity,Tecumseh's father was killed defending his home.,SKILL-COMP-001: Main Idea; SKILL-COMP-002: Key Details; SKILL-COMP-003: Character Analysis; SKILL-COMP-004: Setting; SKILL-COMP-006: Cause and Effect; SKILL-COMP-012: Theme; SKILL-KNOW-006: Historical Events; SKILL-KNOW-008: Cultures and Traditions,False,False,Needs Review,,,
d9ad1270-a6af-11ee-9d5d-5fd9d52aa5c7,Hansel and Gretel (Chapter Four),3,1.0,Critical,0.2,0.7,3,6,Violence; Emotional Safety; Emotional Safety,I must kill and cook him.,SKILL-COMP-001: Main Idea; SKILL-COMP-002: Key Details; SKILL-COMP-003: Character Analysis; SKILL-COMP-006: Cause and Effect; SKILL-COMP-008: Predictions; SKILL-VOCAB-001: Context Clues,False,False,Needs Review,,,
38f15e40-3bb0-11ef-8d9f-8b3b6995ccb7,The Indian Cinderella (Chapter Two),4,1.0,Critical,0.15,0.7,3,4,Emotional Safety; Violence; Cultural Sensitivity,they burned her face with coals from the fire that she might be scarred and disfigured.,SKILL-COMP-003: Character Analysis; SKILL-COMP-005: Plot and Sequence; SKILL-COMP-006: Cause and Effect; SKILL-COMP-012: Theme,False,False,Needs Review,,,
4ee4c900-b3f5-11ee-8a3b-add72ef11f33,William Tell,1,1.0,Critical,0.2,0.7,2,4,Violence; Violence,The King wanted to hurt Tell.,SKILL-COMP-005: Plot and Sequence; SKILL-COMP-001: Main Idea; SKILL-COMP-003: Character Analysis; SKILL-COMP-012: Theme,False,False,Needs Review,,,
71703530-63ba-11ee-9148-016a1f06fd80,Beauty and the Beast Stories Around the World (Chapter Nine),3,1.0,Critical,0.0,0.6,2,5,Violence; Emotional Safety,"Keep your promise, or I will eat you!",SKILL-COMP-001: Main Idea; SKILL-COMP-002: Key Details; SKILL-COMP-006: Cause and Effect; SKILL-COMP-007: Making Inferences; SKILL-COMP-005: Plot and Sequence,False,False,Needs Review,,,
0a838690-5bc9-11ee-9e4f-43cb9e180b83,"Great Job, Dad!",0,1.0,Critical,0.0,0.6,2,3,Violence; Violence,A bear can break your neck.,SKILL-COMP-001: Main Idea; SKILL-COMP-002: Key Details; SKILL-VOCAB-001: Context Clues,False,False,Needs Review,,,
044c727e-7502-4bf4-9def-461e2da1bf27,The Tide Turns,8,0.975,Critical,0.75,0.8,4,6,Violence; Violence; Age Appropriateness; Emotional Safety,One have seen blood running from the wounded.,SKILL-COMP-001: Main Idea; SKILL-COMP-002: Key Details; SKILL-COMP-003: Character Analysis; SKILL-COMP-006: Cause and Effect; SKILL-COMP-012: Theme; SKILL-KNOW-006: Historical Events,False,False,Needs Review,,,
3e533362-211a-4ef6-a9bf-646589aabfac,The Acquisition Of Hawaii,8,0.975,Critical,0.05,0.6,2,6,Cultural Sensitivity; Age Appropriateness,"Americans in Hawaii rebelled against these efforts in 1893 and, supported by the US. government, overthrew the Hawaiian monarchy.",SKILL-COMP-001: Main Idea; SKILL-COMP-002: Key Details; SKILL-COMP-003: Character Analysis; SKILL-COMP-006: Cause and Effect; SKILL-COMP-012: Theme; SKILL-KNOW-008: Cultures and Traditions,False,False,Needs Review,,,
95aba000-d7fb-11ee-b5d3-45912fba8e57,The Boy Who Tried to Be the Sun,6,0.975,Critical,0.05,0.6,3,7,Emotional Safety; Violence & Physical Harm; Age Appropriateness,"the village children mocked the young boy, claiming he was fatherless.",SKILL-COMP-001: Main Idea; SKILL-COMP-002: Key Details; SKILL-COMP-003: Character Analysis; SKILL-COMP-006: Cause and Effect; SKILL-COMP-012: Theme; SKILL-VOCAB-003: Figurative Language; SKILL-KNOW-001: Animals,False,False,Needs Review,,,
